end_time,artist_name,track_name,ms_played,id
2022-01-17 00:35,Queen,Don't Stop Me Now - Remastered 2011,1080,
2022-01-18 11:48,girl in red,I'll Call You Mine,2780,
2022-01-20 05:30,Beyoncé,"Be Alive (Original Song from the Motion Picture ""King Richard"")",630,
2022-01-21 18:45,Beyoncé,"Be Alive (Original Song from the Motion Picture ""King Richard"")",835,
2022-01-28 12:24,The Beatles,Don't Let Me Down - Rooftop Performance / Take 2,19207,
2022-01-28 12:28,Disclosure,You've Got To Let Go If You Want To Be Free,30540,
2022-01-29 15:25,Big Wild,6's to 9's (feat. Rationale),126763,
2022-01-30 00:50,Lil Peep,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),154970,
2022-01-30 01:24,Lil Peep,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),78647,
2022-02-04 12:08,Labrinth,"I'm Tired - From ""Euphoria"" An Original HBO Series",94857,
2022-02-05 13:36,Labrinth,"I'm Tired - From ""Euphoria"" An Original HBO Series",670,
2022-02-05 21:45,Queen,Don't Stop Me Now - Remastered 2011,533,
2022-02-10 07:01,Beyoncé,"Be Alive (Original Song from the Motion Picture ""King Richard"")",3580,
2022-02-11 01:49,Lil Peep,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),40589,
2022-02-11 01:52,Lil Peep,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),189964,
2022-02-12 12:37,Lil Peep,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),1480,
2022-02-13 17:20,Lil Peep,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),233613,
2022-02-14 23:10,girl in red,I'll Call You Mine,12928,
